Date,Close/Last,Volume,Open,High,Low
01/29/2024,$55.0133,18240314,$54.7833,$55.135,$54.5067
01/26/2024,$54.7567,15746312,$54.35,$54.7933,$54.22
01/25/2024,$54.28,16369604,$53.80,$54.29,$53.4733
01/24/2024,$53.50,22932863,$54.30,$54.355,$53.44
01/23/2024,$54.2667,12066517,$54.04,$54.2833,$53.9233
01/22/2024,$54.13,13938382,$54.2633,$54.3167,$53.8333
01/19/2024,$54.1267,19175297,$54.4767,$54.5233,$53.8133
01/18/2024,$54.4133,18190613,$53.72,$54.4633,$53.56
01/17/2024,$53.69,14827663,$53.7933,$53.995,$53.5433
01/16/2024,$53.9433,17032592,$53.8133,$54.1333,$53.7433
01/12/2024,$53.7733,13628968,$53.79,$53.8483,$53.46
01/11/2024,$53.7033,14355208,$53.7833,$53.9633,$53.39
01/10/2024,$53.7633,20122040,$53.1867,$53.8334,$53.1867
01/09/2024,$53.1033,23322380,$52.6433,$53.1133,$52.5767
01/08/2024,$52.75,20680880,$52.2333,$52.765,$52.225
01/05/2024,$52.2367,21709505,$52.64,$52.70,$51.8667
01/04/2024,$52.5867,19282472,$53.07,$53.18,$52.4967
01/03/2024,$53.10,18756062,$53.2567,$53.4333,$52.9767
01/02/2024,$53.0967,23539679,$52.4167,$53.1783,$52.3967
12/29/2023,$52.55,21948200,$52.51,$52.6933,$52.3867
12/28/2023,$52.5233,16776068,$52.59,$52.7767,$52.50
12/27/2023,$52.6267,19895966,$52.1033,$52.6483,$52.0533
12/26/2023,$52.1367,11679964,$52.2167,$52.33,$52.0367
12/22/2023,$52.2167,19405643,$51.8167,$52.3833,$51.7184
12/21/2023,$51.60,20087786,$51.3333,$51.6867,$51.3017
12/20/2023,$51.2367,21967703,$51.8067,$52.0467,$51.2067
12/19/2023,$51.8433,24417095,$51.6133,$51.8967,$51.3633
12/18/2023,$51.6567,26316015,$51.1167,$51.69,$51.0433
12/15/2023,$50.9133,70003597,$50.5933,$51.1533,$50.5133
12/14/2023,$50.7233,30891273,$51.1733,$51.3133,$50.6433
12/13/2023,$51.35,35348674,$50.5167,$51.35,$50.2133
12/12/2023,$50.4533,21382022,$50.4067,$50.5667,$50.0767
12/11/2023,$50.4133,31883253,$50.38,$50.4833,$49.8467
12/08/2023,$50.2867,34069473,$50.6667,$50.7367,$50.08
12/07/2023,$50.82,25362582,$51.45,$51.5133,$50.7417
12/06/2023,$51.3467,26447400,$51.85,$51.9433,$51.2167
12/05/2023,$51.91,21883832,$51.4833,$51.95,$51.2467
12/04/2023,$51.4333,24883190,$51.1067,$51.6433,$51.1033
12/01/2023,$51.4467,39273664,$51.7933,$51.87,$50.8767
11/30/2023,$51.8967,29925789,$52.0067,$52.1167,$51.5033
11/29/2023,$52.0267,29896488,$52.9233,$52.9233,$51.87
11/28/2023,$52.88,23535029,$52.22,$52.9746,$52.22
11/27/2023,$52.2567,23393648,$51.9833,$52.4533,$51.9833
11/24/2023,$52.02,13975171,$51.7167,$52.0433,$51.5667
11/22/2023,$51.5567,26433525,$51.9067,$52.0167,$51.46
11/21/2023,$51.9533,29382198,$51.82,$52.2833,$51.3767
11/20/2023,$51.7667,26703846,$51.8467,$52.0033,$51.67
11/17/2023,$51.7833,42533404,$51.9833,$52.5133,$51.67
11/16/2023,$52.0133,97658590,$52.9167,$53.15,$51.8333
11/15/2023,$56.5933,35769964,$56.1267,$56.6467,$55.8367
11/14/2023,$55.8833,19792520,$56.0567,$56.382,$55.75
11/13/2023,$55.8933,15408845,$55.46,$55.9565,$55.3483
11/10/2023,$55.3967,14321158,$54.85,$55.48,$54.6333
11/09/2023,$54.64,15080699,$54.79,$54.84,$54.415
11/08/2023,$54.7667,15591833,$55.28,$55.4267,$54.5267
11/07/2023,$55.2167,15023504,$55.2567,$55.5367,$55.11
11/06/2023,$54.96,14529238,$54.8333,$55.21,$54.69
11/03/2023,$54.8867,17240225,$55.2933,$55.4317,$54.8333
11/02/2023,$55.1733,15492203,$54.7933,$55.3967,$54.5417
11/01/2023,$54.9567,14899390,$54.7367,$55.1267,$54.3267
10/31/2023,$54.47,14168347,$54.3333,$54.54,$53.9833
10/30/2023,$54.34,12653653,$53.82,$54.42,$53.595
10/27/2023,$53.7233,13830214,$53.8267,$53.99,$53.5167
10/26/2023,$53.9233,16220075,$54.2367,$54.6167,$53.87
10/25/2023,$54.2533,16621781,$54.3867,$54.7767,$54.1567
10/24/2023,$54.4167,17535068,$53.80,$54.4933,$53.7967
10/23/2023,$53.67,17097110,$52.91,$53.7833,$52.6733
10/20/2023,$52.92,15057245,$53.61,$53.7017,$52.9033
10/19/2023,$53.59,11745898,$53.81,$53.9407,$53.4067
10/18/2023,$53.8467,10559725,$53.96,$54.12,$53.5733
10/17/2023,$53.8067,10893373,$53.58,$53.9037,$53.4633
10/16/2023,$53.7367,14348011,$53.5133,$54.0267,$53.44
10/13/2023,$53.2767,13810885,$53.0867,$53.4867,$52.9667
10/12/2023,$52.9833,13514677,$52.8433,$53.1033,$52.59
10/11/2023,$52.7433,12026776,$52.7533,$53.1633,$52.3467
10/10/2023,$52.5333,16014446,$52.0767,$52.6933,$51.8867
10/09/2023,$51.9467,21022544,$51.6933,$51.9517,$51.0867
10/06/2023,$52.1367,42616174,$52.8833,$52.9967,$50.55
10/05/2023,$53.0267,14269606,$53.4833,$53.6533,$53.00
10/04/2023,$53.6667,15755840,$53.2167,$53.6833,$53.0033
10/03/2023,$53.03,11253175,$53.23,$53.5825,$52.8934
10/02/2023,$53.3667,12992842,$53.1633,$53.4233,$52.77
09/29/2023,$53.31,18842441,$54.3433,$54.3767,$53.0617
09/28/2023,$54.18,11617117,$54.00,$54.2767,$53.8634
09/27/2023,$53.9067,15711104,$54.00,$54.0767,$53.43
09/26/2023,$54.1667,14435815,$54.3133,$54.5142,$54.1167
09/25/2023,$54.3567,10459423,$54.1233,$54.37,$53.9554
09/22/2023,$54.1167,13216918,$54.0767,$54.41,$53.9733
09/21/2023,$53.9733,18787490,$54.7533,$54.8333,$53.93
09/20/2023,$54.6367,10124650,$54.5333,$54.9033,$54.32
09/19/2023,$54.46,14020486,$54.46,$54.5933,$54.1183
09/18/2023,$54.4733,12997693,$54.8933,$55.0667,$54.4167
09/15/2023,$54.88,63925086,$55.07,$55.22,$54.59
09/14/2023,$55.0833,14923708,$55.00,$55.2467,$54.8033
09/13/2023,$54.8533,14364271,$54.9767,$55.2833,$54.79
09/12/2023,$54.84,11757358,$54.8333,$54.9777,$54.68
09/11/2023,$54.78,11912119,$54.6667,$54.8269,$54.5533
09/08/2023,$54.59,12668965,$54.4933,$54.62,$54.3567
09/07/2023,$54.49,19120889,$54.00,$54.4933,$53.83
09/06/2023,$53.8233,14594563,$53.4667,$54.0567,$53.3033
09/05/2023,$53.4233,15209360,$53.95,$54.2667,$53.3933
09/01/2023,$53.8567,12553369,$54.29,$54.32,$53.3833
08/31/2023,$54.2033,19582898,$53.7067,$54.33,$53.6533
08/30/2023,$53.7333,10967761,$53.4667,$53.7633,$53.3067
08/29/2023,$53.35,12702205,$53.00,$53.4083,$52.9533
08/28/2023,$52.9067,11871124,$52.62,$52.9433,$52.62
08/25/2023,$52.6067,12267406,$52.3933,$52.68,$52.18
08/24/2023,$52.2967,14033095,$52.71,$53.0767,$52.2733
08/23/2023,$52.70,14210353,$52.2033,$52.80,$52.17
08/22/2023,$52.3367,16672511,$52.3233,$52.4367,$52.08
08/21/2023,$52.5033,15679268,$52.5433,$52.9467,$52.3467
08/18/2023,$52.6433,27954783,$51.77,$53.2233,$51.77
08/17/2023,$51.8967,53614295,$53.6333,$53.7133,$51.6733
08/16/2023,$53.0867,26980944,$53.2933,$53.6567,$52.79
08/15/2023,$53.06,14559448,$53.18,$53.5967,$52.9733
08/14/2023,$53.3333,20813672,$54.00,$54.26,$53.06
08/11/2023,$53.7333,14195203,$53.5167,$53.9433,$53.3667
08/10/2023,$53.42,15169490,$53.5967,$53.9167,$53.3433
08/09/2023,$53.6367,13209616,$53.6367,$54.0333,$53.57
08/08/2023,$53.55,11018116,$53.6633,$53.8733,$53.17
08/07/2023,$53.4967,14269615,$53.1667,$53.7367,$53.0367
08/04/2023,$52.78,14263099,$53.2533,$53.4167,$52.6533
08/03/2023,$53.0867,13204036,$53.0067,$53.166,$52.8383
08/02/2023,$53.0733,12661981,$52.8433,$53.4767,$52.8433
08/01/2023,$53.0367,11783536,$53.3167,$53.4833,$52.9867
07/31/2023,$53.2867,13034035,$53.32,$53.5467,$52.97
07/28/2023,$53.3033,11021866,$53.0967,$53.6467,$53.0967
07/27/2023,$53.0533,13400308,$53.36,$53.5467,$53.0433
07/26/2023,$53.2467,15094082,$53.08,$53.5633,$52.9787
