Date,Close/Last,Volume,Open,High,Low
03/07/2023,$4.2937,9466452,$4.4365,$4.4444,$4.2778
03/06/2023,$4.3651,11117242,$4.4444,$4.4563,$4.3492
03/03/2023,$4.4841,7283855,$4.5635,$4.5714,$4.4683
03/02/2023,$4.50,11536552,$4.4841,$4.5357,$4.4365
03/01/2023,$4.5159,19118106,$4.4444,$4.5794,$4.4048
02/28/2023,$4.3413,11481807,$4.3492,$4.3889,$4.3214
02/27/2023,$4.3175,8899985,$4.3254,$4.373,$4.3095
02/24/2023,$4.3016,10792172,$4.373,$4.3889,$4.254
02/23/2023,$4.4127,8426973,$4.4206,$4.4802,$4.3132
02/22/2023,$4.3333,14471654,$4.3175,$4.3967,$4.254
02/21/2023,$4.3016,5119319,$4.4048,$4.4524,$4.2857
02/17/2023,$4.3968,8229405,$4.381,$4.4127,$4.3413
02/16/2023,$4.4048,10524364,$4.4048,$4.4683,$4.373
02/15/2023,$4.3413,11728516,$4.3651,$4.3968,$4.2937
02/14/2023,$4.4048,12406538,$4.3968,$4.4739,$4.3651
02/13/2023,$4.4048,9838729,$4.2698,$4.4127,$4.2579
02/10/2023,$4.3254,13323643,$4.3413,$4.381,$4.2698
02/09/2023,$4.3333,24878536,$4.4683,$4.4841,$4.3254
02/08/2023,$4.7619,7221708,$4.7619,$4.8056,$4.7089
02/07/2023,$4.7778,8372021,$4.8016,$4.8611,$4.7619
02/06/2023,$4.7619,11683761,$4.6746,$4.7619,$4.6512
02/03/2023,$4.8254,9187063,$4.8571,$4.9167,$4.8016
02/02/2023,$4.8571,13222616,$5.00,$5.0198,$4.8294
02/01/2023,$5.0794,9576673,$5.0198,$5.0952,$4.9286
01/31/2023,$5.1587,9710486,$5.1667,$5.20,$5.119
01/30/2023,$5.0317,7548461,$5.0079,$5.0952,$5.0079
01/27/2023,$5.0397,8740465,$5.1508,$5.1746,$5.0119
01/26/2023,$5.1984,10886667,$5.127,$5.1984,$5.0714
01/25/2023,$5.0714,8140947,$4.9683,$5.0833,$4.9603
01/24/2023,$5.0159,8153299,$5.0159,$5.0357,$4.9603
01/23/2023,$4.9921,7776463,$5.0794,$5.1032,$4.9722
01/20/2023,$5.0952,8244041,$5.0952,$5.119,$5.0635
01/19/2023,$5.1349,8514497,$5.1508,$5.1905,$5.0873
01/18/2023,$5.127,15585683,$5.2262,$5.2817,$5.119
01/17/2023,$5.0317,19025143,$5.0397,$5.1429,$5.0079
01/13/2023,$5.0714,9722985,$5.0476,$5.0873,$5.0159
01/12/2023,$5.0397,13181578,$4.9921,$5.0714,$4.9444
01/11/2023,$4.9762,27005630,$4.7698,$4.9881,$4.7619
01/10/2023,$4.873,42377693,$4.746,$4.9286,$4.6984
01/09/2023,$4.6667,10533692,$4.619,$4.746,$4.5992
01/06/2023,$4.619,12042338,$4.6349,$4.6867,$4.5873
01/05/2023,$4.4762,12047524,$4.3492,$4.5238,$4.3413
01/04/2023,$4.3095,13703835,$4.2857,$4.3254,$4.2381
01/03/2023,$4.3175,14881507,$4.4048,$4.4285,$4.3016
12/30/2022,$4.3968,4216950,$4.4524,$4.50,$4.373
12/29/2022,$4.4524,7310412,$4.5476,$4.5556,$4.4286
12/28/2022,$4.4524,10741947,$4.5397,$4.5476,$4.4484
12/27/2022,$4.4683,14116309,$4.381,$4.5119,$4.3651
12/23/2022,$4.4603,25505197,$4.4444,$4.4841,$4.3849
12/22/2022,$4.6111,17675267,$4.619,$4.631,$4.50
12/21/2022,$4.6825,11445328,$4.6667,$4.6865,$4.6269
12/20/2022,$4.6429,15513372,$4.627,$4.7262,$4.619
12/19/2022,$4.4603,15663753,$4.5159,$4.5238,$4.4365
12/16/2022,$4.5079,18071777,$4.5317,$4.5952,$4.4841
12/15/2022,$4.5238,16649098,$4.619,$4.6632,$4.5198
12/14/2022,$4.6667,13013708,$4.5714,$4.6984,$4.5635
12/13/2022,$4.6429,16462366,$4.7698,$4.7937,$4.6349
12/12/2022,$4.7063,13557688,$4.6032,$4.7183,$4.5595
12/09/2022,$4.754,17561880,$4.7302,$4.8175,$4.7143
12/08/2022,$4.7143,12266829,$4.7778,$4.8254,$4.7063
12/07/2022,$4.754,15431396,$4.7222,$4.7778,$4.6548
12/06/2022,$4.7063,22987427,$4.7619,$4.8095,$4.6389
12/05/2022,$4.6429,16970474,$4.7302,$4.746,$4.6111
12/02/2022,$4.7698,17500077,$4.746,$4.8571,$4.7222
12/01/2022,$4.7222,19678251,$4.7619,$4.8056,$4.6825
11/30/2022,$4.8413,45389736,$4.7619,$4.9286,$4.754
11/29/2022,$4.6984,22978305,$4.5317,$4.7063,$4.5238
