Date,Close/Last,Volume,Open,High,Low
02/05/2024,$116.39,8084508,$115.53,$116.715,$114.77
02/02/2024,$115.79,6499594,$115.82,$116.49,$115.1575
02/01/2024,$115.53,7882168,$112.91,$115.78,$112.55
01/31/2024,$111.70,7386705,$113.81,$114.27,$111.67
01/30/2024,$114.16,8231882,$113.36,$114.40,$112.63
01/29/2024,$113.75,7014424,$114.19,$114.59,$113.01
01/26/2024,$114.64,5541900,$114.64,$115.48,$114.2746
01/25/2024,$115.00,8877205,$114.89,$116.18,$114.35
01/24/2024,$114.31,11702700,$113.42,$115.42,$113.33
01/23/2024,$111.83,9185921,$110.29,$112.68,$109.56
01/22/2024,$110.10,7485307,$110.06,$110.69,$109.27
01/19/2024,$109.67,11163770,$109.32,$110.22,$109.02
01/18/2024,$108.70,10362280,$106.99,$108.88,$106.62
01/17/2024,$106.43,7771460,$106.46,$107.50,$105.68
01/16/2024,$106.57,7547241,$106.41,$106.66,$105.42
01/12/2024,$106.60,9703848,$105.10,$106.70,$104.965
01/11/2024,$104.77,6118998,$104.35,$104.84,$103.54
01/10/2024,$103.92,7270545,$103.09,$104.07,$102.72
01/09/2024,$103.63,6725200,$103.85,$104.48,$103.29
01/08/2024,$104.66,7038658,$102.94,$104.77,$102.13
01/05/2024,$102.73,6133770,$102.53,$103.72,$102.29
01/04/2024,$102.59,6822299,$102.77,$103.36,$102.40
01/03/2024,$102.46,9455569,$103.30,$103.38,$101.74
01/02/2024,$104.06,9597500,$104.52,$104.68,$102.44
12/29/2023,$105.43,6899695,$106.60,$106.918,$104.78
12/28/2023,$106.25,5689057,$106.01,$106.605,$105.58
12/27/2023,$105.94,5627364,$106.32,$106.33,$105.56
12/26/2023,$106.19,5767415,$106.52,$106.65,$105.34
12/22/2023,$106.20,5680031,$105.70,$106.49,$105.46
12/21/2023,$105.86,8168010,$104.70,$105.925,$104.52
12/20/2023,$104.15,9241956,$105.95,$106.09,$104.05
12/19/2023,$106.25,10108510,$104.98,$106.34,$104.80
12/18/2023,$105.00,13473120,$103.41,$106.156,$102.91
12/15/2023,$103.32,30212320,$99.69,$103.99,$99.36
12/14/2023,$100.31,22865160,$101.87,$102.2494,$99.87
12/13/2023,$102.99,29392210,$101.08,$103.10,$99.26
12/12/2023,$100.81,57666470,$102.70,$104.95,$100.69
12/11/2023,$115.13,19544240,$113.77,$115.35,$113.61
12/08/2023,$113.61,7765999,$112.01,$113.64,$111.59
12/07/2023,$112.87,6772848,$112.41,$113.03,$111.81
12/06/2023,$112.03,7815722,$114.94,$114.99,$111.93
12/05/2023,$114.53,5913562,$114.57,$115.27,$113.81
12/04/2023,$115.78,5587538,$116.27,$116.68,$114.55
12/01/2023,$117.16,5739833,$116.07,$117.35,$115.26
11/30/2023,$116.21,11075590,$116.86,$117.23,$115.18
11/29/2023,$116.21,6127312,$117.34,$117.58,$115.96
11/28/2023,$116.24,4892619,$116.00,$116.80,$115.87
11/27/2023,$116.47,5165309,$116.005,$116.77,$115.45
11/24/2023,$116.25,2168187,$116.49,$116.59,$115.34
11/22/2023,$116.24,4344743,$116.70,$117.29,$115.51
11/21/2023,$116.08,5995308,$117.21,$117.67,$115.68
11/20/2023,$116.92,5729247,$115.65,$117.149,$115.51
11/17/2023,$115.36,4793121,$114.61,$115.64,$114.16
11/16/2023,$114.67,7476084,$113.76,$115.87,$113.47
11/15/2023,$114.06,7386240,$116.15,$116.31,$113.925
11/14/2023,$116.10,6733655,$114.86,$116.46,$114.45
11/13/2023,$114.15,5740466,$113.07,$114.49,$112.78
11/10/2023,$113.07,5243795,$112.09,$113.18,$111.14
11/09/2023,$112.18,6853941,$112.40,$113.3091,$111.61
11/08/2023,$112.33,10994910,$109.23,$112.56,$109.19
11/07/2023,$108.99,7412638,$109.99,$110.3799,$108.58
11/06/2023,$109.11,6062799,$108.06,$109.21,$107.44
11/03/2023,$108.05,7280025,$107.17,$109.07,$106.62
11/02/2023,$106.87,5918301,$106.45,$107.22,$105.57
11/01/2023,$105.75,8602440,$103.80,$106.20,$103.80
10/31/2023,$103.40,6258385,$102.005,$103.52,$101.10
10/30/2023,$101.65,5433719,$101.14,$102.4067,$100.82
10/27/2023,$100.99,5207854,$101.00,$102.09,$100.59
10/26/2023,$100.40,7565581,$101.69,$102.39,$99.87
